biosample_id_namespace	biosample_local_id	gene
https://www.ncbi.nlm.nih.gov/sra/	SRX3368300	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368301	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368302	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368303	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368304	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368305	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368306	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368307	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368308	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368309	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368310	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368311	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368312	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368313	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368314	ENSG00000102081
https://www.ncbi.nlm.nih.gov/sra/	SRX3368315	ENSG00000102081
