"","PC1","PC2","PC3","PC4","PC5","PC6","group","treatment","name"
"16-116B",-2.68585130791524,4.78892947426661,-0.671694390576929,1.61974778132872,-0.701631914018337,1.38356813867427,"FMR1_Yoked","FMR1_Yoked","16-116B"
"16-117D",-4.38108582715612,5.67166903779254,-0.130703091680276,1.02316564632274,-0.37683915405096,-1.01522405848945,"FMR1_Yoked","FMR1_Yoked","16-117D"
"16-118B",1.50537779869874,6.84967987439168,-1.73341425301538,3.24240541325686,0.11887976895127,0.0144821392490945,"FMR1_Yoked","FMR1_Yoked","16-118B"
"16-118D",2.53772834622216,4.06529977768812,-0.82790378461035,1.24912810301176,0.790983273995893,-1.05664965011746,"FMR1_Yoked","FMR1_Yoked","16-118D"
"16-119B",4.49899877085165,1.53727572118088,0.461599431089096,0.651905795655844,1.42825211055471,-1.38050655423377,"FMR1_Yoked","FMR1_Yoked","16-119B"
"16-119D",0.571264897359766,6.0956830838399,-1.95541567592373,3.28102107672323,-0.225544710865429,0.4600866046702,"FMR1_Yoked","FMR1_Yoked","16-119D"
"16-120B",-0.0105959916133385,6.55620516310553,-1.50177361291905,3.2194064409532,0.0729715010840885,0.434333985570588,"FMR1_Yoked","FMR1_Yoked","16-120B"
"16-120D",-1.04652451129901,3.23889642943479,-0.413325071921513,1.84970129067893,-0.589319783816404,1.29795852446618,"FMR1_Yoked","FMR1_Yoked","16-120D"
"16-122B",3.00074093542127,0.804845241185494,0.51930869262804,0.561969042450665,0.200879540333734,0.723193064107829,"WT_Yoked","WT_Yoked","16-122B"
"16-122D",4.49474684980257,2.3738978102515,-0.130414095583215,1.13256165747684,0.61228003598455,-1.00609130448689,"WT_Yoked","WT_Yoked","16-122D"
"16-123B",-11.6221106282467,-0.930825244273287,2.82044493839413,-2.02096595507282,-11.1560375582237,-0.438473265505415,"WT_Yoked","WT_Yoked","16-123B"
"16-123D",0.963891732594824,5.21712392212086,-1.04158590293536,1.84752333879956,-0.622641485818028,-0.0413486618146408,"WT_Yoked","WT_Yoked","16-123D"
"16-124D",-1.36935126960672,4.82434148207803,-1.07415943695323,1.88733284865086,-0.197785717752995,0.561108149776425,"WT_Yoked","WT_Yoked","16-124D"
"16-125B",-24.0776776979751,5.51609668079934,6.73619865672732,-6.8658585395395,5.18538797146832,-0.907037231083514,"WT_Yoked","WT_Yoked","16-125B"
"16-125D",-0.0504150086558233,3.97771492778515,-1.2433380112328,1.98329599940704,-0.150352385467872,1.14298249042194,"WT_Yoked","WT_Yoked","16-125D"
"16-126B",4.22424211559873,0.424450957735703,0.706785873031921,-0.0703836719893393,0.325014718244562,-0.757048355779448,"WT_Yoked","WT_Yoked","16-126B"
"143B-CA1-1",4.80258771376059,-4.35464856136118,1.50897903912918,-2.56478620887289,-0.354922080450192,-0.975738429201985,"WT_yoked_conflict","WT_yoked_conflict","143B-CA1-1"
"143C-CA1-1",6.47181846354647,-0.585308826294792,-0.550076017552444,-0.643625497406561,0.912782132066517,-2.04337564185663,"WT_consistent","WT_consistent","143C-CA1-1"
"143D-CA1-3",2.29998293018406,-4.80158878910926,1.50649847294905,-1.99550480649949,1.92142410442831,7.89758972450345,"WT_yoked_consistent","WT_yoked_consistent","143D-CA1-3"
"144A-CA1-2",5.23598259868382,-5.0423693246612,1.69520511446335,-2.59273573712335,0.427325949044744,-1.00918854505365,"WT_conflict","WT_conflict","144A-CA1-2"
"144B-CA1-1",2.65457852768974,-4.53660573407482,0.776399802678985,-2.08977234819854,0.0322529887964296,1.89814419899197,"WT_yoked_conflict","WT_yoked_conflict","144B-CA1-1"
"144C-CA1-2",4.34331183846979,-1.16338826419082,-0.293196575647527,-1.10503227799776,-0.000828538983236502,-1.25461040246886,"WT_consistent","WT_consistent","144C-CA1-2"
"145A-CA1-2",6.96169521668616,-3.71012605548505,0.914367277356182,-2.6920404577699,-0.58439896455571,-2.06622824028729,"WT_conflict","WT_conflict","145A-CA1-2"
"145B-CA1-1",2.67479051978032,-5.20791133860417,1.88796572135229,-3.14013756745274,-2.33204504485996,2.71825397114841,"WT_yoked_conflict","WT_yoked_conflict","145B-CA1-1"
"146A-CA1-2",6.08743375140738,-7.15837336317608,2.5745285361513,-3.54714021028119,0.877830930106308,-0.586910741293541,"WT_conflict","WT_conflict","146A-CA1-2"
"146B-CA1-2",-1.19542068090908,2.32071449297452,-1.78705631730325,1.15057500180492,0.575131751253826,2.39736229158741,"WT_yoked_conflict","WT_yoked_conflict","146B-CA1-2"
"146C-CA1-4",-4.80116194619587,2.72827056532974,1.37081092814631,-2.87733793664119,0.798415351770498,-1.14863218983764,"WT_consistent","WT_consistent","146C-CA1-4"
"146D-CA1-3",-10.317279596537,-16.3283761890377,6.63107989964803,12.1470665980124,1.4671642369,-1.12668933153142,"WT_yoked_consistent","WT_yoked_consistent","146D-CA1-3"
"147C-CA1-3",5.84788531898619,-0.552800643883851,0.348862343676357,-1.75001195205029,0.00970533654523191,-2.2049477966643,"WT_consistent","WT_consistent","147C-CA1-3"
"148A-CA1-3",5.16532141764288,-1.6195497037031,-0.0200141200287327,-0.922133172885976,0.635661390509914,-1.1674674931972,"WT_conflict","WT_conflict","148A-CA1-3"
"148B-CA1-4",-12.784905277277,-10.9992226041052,-17.0849643695378,-1.96933969475208,0.900004246823896,-0.742895390264684,"WT_yoked_conflict","WT_yoked_conflict","148B-CA1-4"
